user_id,avg_rating,review_count,favorite_topic,avg_review_length,user_type
--E0uVPphTORm_OiZ5KCvA,2.0,1,Unknown,1497.0,Harsh Critic
--_r6E98SNIrGU7weyNxbw,4.0,1,Unknown,1029.0,Detailed Reviewer
-0LYJemBGqwp8B5lvKDlDg,5.0,1,Mexican Food Lovers,247.0,Generous Reviewer
-0ouXH70JU4xkVw-A4Gs8w,5.0,1,Italian & Pasta,291.0,Generous Reviewer
-0pWdtPxK7aDEEC-qHbxbw,1.0,1,Unknown,237.0,Harsh Critic
-0vutwuE36iYMqM2wHaStQ,3.0,1,Unknown,424.0,Casual Reviewer
-1C-Lu0NTlYi4XB82ntKtg,3.0,1,Unknown,154.0,Casual Reviewer
-21-Zlf79FYO5_D3hgmsMw,5.0,1,Unknown,248.0,Generous Reviewer
-2NBW3HTTAIx1oUl5MbuPA,5.0,1,Unknown,234.0,Generous Reviewer
-2TtV5umeyeIZ47kNviP1w,5.0,1,Unknown,101.0,Generous Reviewer
-2_eYCiY4JXD_hUI2_HK6w,5.0,1,Sandwich & Deli Lovers,288.0,Generous Reviewer
-2ccuXJJIQmaXKQ9krmRfw,3.0,1,Unknown,500.0,Casual Reviewer
-2f6hUYaUq1tTberEy698Q,3.0,1,Unknown,566.0,Detailed Reviewer
-3MZO90qJqNiG_Kfx0LGcQ,5.0,1,Unknown,408.0,Generous Reviewer
-3Ne-PnkKENCC-QPBMCEvQ,5.0,1,Desserts & Donuts,240.0,Generous Reviewer
-3jdh5mjVm9uYvVEsxm5_w,4.0,1,Unknown,129.0,Casual Reviewer
-3zMbAzCc74PstMHQHnXBA,2.0,1,Unknown,453.0,Harsh Critic
-4JCI0LVdTnkHDMz5mGdaA,4.0,1,Unknown,261.0,Casual Reviewer
-4RbxLJlFZlu-KRuUiiGLw,4.0,1,Pizza Enthusiasts,391.0,Casual Reviewer
-4Wc_BPjBCZItVHbljSFuQ,4.0,1,Unknown,775.0,Detailed Reviewer
-4r6OoklyemH7Up70wIhMA,1.0,1,Unknown,116.0,Harsh Critic
-5HbX0mu5DuNH3bgODjBqA,5.0,1,General Positive Dining,136.0,Generous Reviewer
-5dldjhJ8q06QO5bVAIK2A,1.0,1,Unknown,346.0,Harsh Critic
-5uEERcxQ_PBuYS4d9I1QA,3.0,1,Craft Beer & Nightlife,688.0,Detailed Reviewer
-6DFC6L4AK21O8fTeE5-kw,5.0,1,Unknown,181.0,Generous Reviewer
-6Fk7QmNWJDaDKwwcgS8PQ,5.0,1,Pizza Enthusiasts,212.0,Generous Reviewer
